timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session
2000.02.16 00:00:00,EURUSD,0.981500,0.987800,0.979000,0.986300,5580,0.967411,0.984245,1.001079,1.011980,0.561036,3.420755,45.941016,1,0.980125,-0.520833,0.486667,1.046491,-3.148028,0.315940,1.141805,0.030575,0.276554,0,6,13,0.000000,3
2000.02.17 00:00:00,EURUSD,0.986200,0.995800,0.983700,0.987800,6290,0.968466,0.983590,0.998714,1.015730,0.639185,3.075213,47.164892,0,1.101624,-1.562500,0.161976,1.057762,-3.171644,0.486667,0.980125,-0.010139,0.480082,0,5,14,0.000000,3
2000.02.18 00:00:00,EURUSD,0.987800,0.990200,0.980900,0.983700,6107,0.970070,0.982685,0.995300,1.011164,0.540231,2.567414,44.218117,0,1.079052,-0.682927,-0.416794,1.053831,-3.206567,0.161976,1.101624,0.000000,-0.284640,0,5,15,0.000000,3
2000.02.19 00:00:00,EURUSD,0.983900,0.984700,0.983800,0.984500,20,0.970108,0.982500,0.994892,1.014114,0.580695,2.522629,44.940966,0,0.003778,-0.166667,0.060945,0.985017,-3.224683,-0.416794,1.079052,0.020331,0.295647,0,4,16,0.000000,3
2000.02.21 00:00:00,EURUSD,0.985400,0.988900,0.984300,0.987500,5335,0.971108,0.983140,0.995172,1.013584,0.681186,2.447639,47.679045,0,1.022520,-0.523810,0.212658,0.945153,-3.248658,0.060945,0.003778,0.091417,0.050823,0,3,17,0.000000,3
2000.02.22 00:00:00,EURUSD,0.987600,1.008100,0.987100,1.003900,6379,0.970134,0.984590,0.999046,1.017488,1.167896,2.936420,59.527985,0,1.152984,-0.030675,1.623668,1.012722,-3.199771,0.212658,1.022520,0.010127,0.284466,0,2,18,0.000000,3
2000.02.23 00:00:00,EURUSD,1.003800,1.008900,1.001100,1.003600,5791,0.970983,0.986230,1.001477,1.031017,1.069638,3.091879,59.263589,0,1.051189,-12.500000,-0.019928,0.996180,-3.204016,1.623668,1.152984,-0.009961,1.418296,0,1,19,0.000000,3
2000.02.24 00:00:00,EURUSD,1.003600,1.004200,0.988800,0.991900,6365,0.973474,0.987260,1.001046,1.015744,0.668283,2.792837,49.946377,0,1.159423,-0.264957,-1.179554,1.046834,-3.256780,-0.019928,1.051189,0.000000,-1.228648,0,0,20,0.000000,3
2000.02.25 00:00:00,EURUSD,0.992300,0.993000,0.972200,0.974800,6684,0.973086,0.987170,1.001254,0.999089,0.060842,2.853361,40.038680,0,1.218263,-0.148571,-1.795240,1.141524,-3.350585,-1.179554,1.159423,0.040327,-1.678803,0,1,0,0.000000,3
2000.02.26 00:00:00,EURUSD,0.974900,0.974900,0.974200,0.974600,16,0.971368,0.986380,1.001392,1.002916,0.107656,3.043927,39.938891,0,0.003133,-1.333333,-0.030782,1.065335,-3.395188,-1.795240,1.218263,0.010259,0.205719,0,1,1,0.000000,3
2000.02.28 00:00:00,EURUSD,0.972800,0.973300,0.940100,0.971000,7537,0.969364,0.985770,1.002176,0.969811,0.049869,3.328637,38.098264,0,1.474807,-17.166667,-0.185376,1.246695,-3.453913,-0.030782,0.003133,-0.184691,-3.500308,0,2,0,0.000000,3
2000.02.29 00:00:00,EURUSD,0.970900,0.987200,0.962200,0.964400,7639,0.965921,0.984790,1.003659,0.996148,-0.040307,3.832067,34.920802,0,1.391794,-0.338462,-0.673994,1.350732,-3.533544,-0.185376,1.474807,-0.010299,2.350814,0,3,0,0.000000,3
2000.03.01 00:00:00,EURUSD,0.964100,0.976700,0.962600,0.972900,7139,0.964830,0.984360,1.003890,0.997688,0.206599,3.967981,41.668253,0,1.282620,-0.170455,0.904512,1.346812,-3.583153,-0.673994,1.391794,-0.031107,0.041571,0,4,0,0.000000,3
2000.03.02 00:00:00,EURUSD,0.972800,0.979300,0.961500,0.965500,7903,0.962187,0.983360,1.004533,0.999286,0.078232,4.306206,37.976676,0,1.406140,-0.547945,-0.756085,1.391883,-3.714034,0.904512,1.282620,-0.010279,-0.114274,0,5,0,0.000000,3
2000.03.03 00:00:00,EURUSD,0.965700,0.967800,0.957700,0.958700,7166,0.958487,0.981580,1.004673,0.999179,0.004617,4.705323,34.915510,0,1.278661,-0.142857,-0.730155,1.376881,-3.861688,-0.756085,1.406140,0.020715,-0.395216,0,6,0,0.000000,3
2000.03.04 00:00:00,EURUSD,0.958900,0.960700,0.958700,0.960700,13,0.955616,0.980340,1.005064,1.003227,0.102813,5.043937,36.535843,0,0.002475,-0.111111,0.187363,1.290740,-3.972676,-0.730155,1.278661,0.020862,0.104417,0,6,1,0.000000,3
2000.03.06 00:00:00,EURUSD,0.956700,0.967200,0.955900,0.958500,6446,0.952659,0.978895,1.005131,1.003402,0.111322,5.360401,35.489195,1,1.226700,-0.444444,0.187793,1.285505,-4.100730,0.187363,0.002475,-0.416363,-0.292062,0,6,2,0.000000,3
2000.03.07 00:00:00,EURUSD,0.958600,0.962400,0.952500,0.958300,7208,0.950076,0.977390,1.004704,1.002551,0.150544,5.589145,35.389940,0,1.283899,-19.333333,-0.031305,1.267723,-4.220182,0.187793,1.226700,0.010433,-0.355686,0,6,3,0.000000,3
2000.03.08 00:00:00,EURUSD,0.958400,0.963100,0.952100,0.960900,7313,0.948296,0.976535,1.004774,1.004011,0.223165,5.783481,37.824412,0,1.288930,-2.520000,0.260173,1.255755,-4.312572,-0.031305,1.283899,0.010435,-0.041995,0,6,4,0.000000,3
2000.03.09 00:00:00,EURUSD,0.961000,0.969800,0.959500,0.966800,7157,0.947355,0.975815,1.004275,1.012820,0.341619,5.833035,43.066849,0,1.254646,-0.258621,0.599917,1.235040,-4.396411,0.260173,1.288930,0.010407,0.777229,0,6,5,0.000000,3
2000.03.10 00:00:00,EURUSD,0.966900,0.969000,0.959900,0.963700,6954,0.946186,0.974685,1.003184,1.014495,0.307277,5.847939,41.105704,0,1.204552,-1.187500,-0.332054,1.217960,-4.521428,0.599917,1.254646,0.010343,0.041688,0,6,6,0.000000,3
2000.03.11 00:00:00,EURUSD,0.963600,0.964000,0.963600,0.963900,9,0.945288,0.973490,1.001692,1.019372,0.329979,5.794067,41.291450,0,0.001649,0.000000,0.031124,1.133693,-4.619774,-0.332054,1.204552,-0.010377,0.385457,0,6,7,0.000000,3
2000.03.13 00:00:00,EURUSD,0.962700,0.973000,0.961600,0.963600,6671,0.944377,0.972485,1.000593,1.018237,0.341947,5.780601,41.082147,0,1.215727,-1.222222,0.093400,1.137547,-4.686644,0.031124,0.001649,-0.124494,-0.207555,0,6,8,0.000000,3
2000.03.14 00:00:00,EURUSD,0.963700,0.969200,0.959000,0.968500,6781,0.944084,0.971685,0.999286,1.015799,0.442302,5.680962,45.905298,0,1.164060,-0.979167,0.495612,1.126176,-4.715385,0.093400,1.215727,0.010378,-0.270383,0,6,9,0.000000,3
2000.03.15 00:00:00,EURUSD,0.968400,0.971400,0.964000,0.966500,6719,0.943938,0.970635,0.997332,1.021254,0.422557,5.500948,44.310842,0,1.139876,-1.315789,-0.196586,1.102588,-4.775220,0.495612,1.164060,-0.010325,0.521376,0,6,10,0.000000,3
2000.03.16 00:00:00,EURUSD,0.966400,0.974000,0.964600,0.969400,6689,0.947005,0.968910,0.990815,1.018579,0.511185,4.521550,47.175907,0,1.131810,-0.600000,0.309470,1.090031,-4.810347,-0.196586,1.139876,-0.010347,0.062241,0,6,11,0.000000,3
2000.03.17 00:00:00,EURUSD,0.969500,0.973000,0.965700,0.971900,6450,0.952130,0.967325,0.982520,1.014252,0.650544,3.141623,49.583924,0,1.085320,-1.583333,0.246939,1.063219,-4.841908,0.309470,1.131810,0.010316,0.114037,0,6,12,0.000000,3
2000.03.18 00:00:00,EURUSD,0.972100,0.973200,0.972000,0.972900,48,0.955759,0.966375,0.976991,1.016993,0.807314,2.197116,50.554872,0,0.008530,-0.125000,0.082228,0.995804,-4.886525,0.246939,1.085320,0.020578,0.652377,0,6,13,0.000000,3
2000.03.20 00:00:00,EURUSD,0.972500,0.974600,0.968400,0.973000,6040,0.955929,0.966285,0.976641,1.013046,0.824199,2.143531,50.657210,0,1.079555,-8.200000,0.051387,0.970095,-4.913155,0.082228,0.008530,-0.041114,-0.370370,0,5,14,0.000000,3
2000.03.21 00:00:00,EURUSD,0.972700,0.974000,0.960700,0.961700,6639,0.955844,0.965640,0.975436,1.005081,0.298902,2.028956,40.465264,0,1.120308,-0.090909,-1.143808,1.010170,-5.015805,0.051387,1.079555,-0.030832,-0.795126,0,5,15,0.000000,3
2000.03.22 00:00:00,EURUSD,0.961600,0.963200,0.957300,0.961100,6830,0.955483,0.965145,0.974807,1.001902,0.290683,2.002268,40.005021,0,1.159455,-7.600000,-0.052024,0.982449,-5.060400,-1.143808,1.120308,-0.010398,-0.353909,0,4,16,0.000000,3
2000.03.23 00:00:00,EURUSD,0.960900,0.973000,0.960100,0.971500,6293,0.955459,0.965500,0.975541,1.004857,0.798772,2.079982,50.511885,1,1.080640,-0.075472,1.091096,0.997354,-5.014771,-0.052024,1.159455,-0.020809,0.292489,0,3,17,0.000000,3
